,name,pha_prediction
0,Asteroid 363864,0
1,Asteroid 306812,0
2,Asteroid 436087,0
3,Asteroid 341907,0
4,Asteroid 536770,0
5,Asteroid 61355,0
6,Asteroid 307947,0
7,Asteroid 517884,0
8,Asteroid 672737,0
9,Asteroid 17282,0
10,Asteroid 83338,0
11,Asteroid 507056,0
12,Asteroid 767702,0
13,Asteroid 195264,0
14,Asteroid 470390,0
15,Asteroid 163521,0
16,Asteroid 584007,0
17,Asteroid 24565,0
18,Asteroid 103614,0
19,Asteroid 141329,0
20,Asteroid 100934,0
21,Asteroid 346338,0
22,Asteroid 287134,0
23,Asteroid 579732,0
24,Asteroid 791611,0
25,Asteroid 26194,0
26,Asteroid 365763,0
27,Asteroid 781449,0
28,Asteroid 836041,0
29,Asteroid 388947,0
30,Asteroid 755913,0
31,Asteroid 81793,0
32,Asteroid 732841,0
33,Asteroid 589994,0
34,Asteroid 717153,0
35,Asteroid 164406,0
36,Asteroid 520166,0
37,Asteroid 649134,0
38,Asteroid 773972,0
39,Asteroid 165670,0
40,Asteroid 600015,0
41,Asteroid 731663,0
42,Asteroid 661701,0
43,Asteroid 629578,0
44,Asteroid 431485,0
45,Asteroid 312700,0
46,Asteroid 158873,0
47,Asteroid 493578,0
48,Asteroid 354713,0
49,Asteroid 6507,0
50,Asteroid 479116,0
51,Asteroid 526366,0
52,Asteroid 258047,0
53,Asteroid 420959,0
54,Asteroid 138332,0
55,Asteroid 583155,0
56,Asteroid 373699,0
57,Asteroid 369950,0
58,Asteroid 633805,0
59,Asteroid 758027,0
60,Asteroid 18445,0
61,Asteroid 295820,0
62,Asteroid 81706,0
63,Asteroid 466752,0
64,Asteroid 322619,0
65,Asteroid 781766,0
66,Asteroid 140487,0
67,Asteroid 198298,0
68,Asteroid 617795,0
69,Asteroid 642069,0
70,Asteroid 384613,0
71,Asteroid 778652,0
72,Asteroid 291920,0
73,Asteroid 359456,0
74,Asteroid 708666,0
75,Asteroid 107622,0
76,Asteroid 450570,0
77,Asteroid 289848,0
78,Asteroid 810205,0
79,Asteroid 781203,0
80,Asteroid 391350,0
81,Asteroid 137251,0
82,Asteroid 410771,0
83,Asteroid 568355,0
84,Asteroid 449778,0
85,Asteroid 55365,0
86,Asteroid 569148,0
87,Asteroid 516092,0
88,Asteroid 175298,0
89,Asteroid 550240,0
90,Asteroid 832191,0
91,Asteroid 582266,0
92,Asteroid 20123,0
93,Asteroid 617789,0
94,Asteroid 327153,0
95,Asteroid 98237,0
96,Asteroid 626528,0
97,Asteroid 425160,0
98,Asteroid 227756,0
99,Asteroid 312374,0
100,Asteroid 53190,0
101,Asteroid 486109,0
102,Asteroid 115916,0
103,Asteroid 443224,0
104,Asteroid 737531,0
105,Asteroid 394087,0
106,Asteroid 125487,0
107,Asteroid 173658,0
108,Asteroid 400201,0
109,Asteroid 211296,0
110,Asteroid 177200,0
111,Asteroid 664060,0
112,Asteroid 489683,0
113,Asteroid 269852,0
114,Asteroid 280229,0
115,Asteroid 672516,0
116,Asteroid 317434,0
117,Asteroid 89493,0
118,Asteroid 215445,0
119,Asteroid 431372,0
120,Asteroid 739273,0
121,Asteroid 452252,0
122,Asteroid 732708,0
123,Asteroid 457675,0
124,Asteroid 264331,0
125,Asteroid 72366,0
126,Asteroid 79416,0
127,Asteroid 475013,0
128,Asteroid 150945,0
129,Asteroid 493450,0
130,Asteroid 382549,0
131,Asteroid 650600,0
132,Asteroid 760316,0
133,Asteroid 716184,0
134,Asteroid 128937,0
135,Asteroid 237517,0
136,Asteroid 182875,0
137,Asteroid 813332,0
138,Asteroid 576919,0
139,Asteroid 661669,0
140,Asteroid 204681,0
141,Asteroid 753045,0
142,Asteroid 4244,0
143,Asteroid 344541,0
144,Asteroid 582615,0
145,Asteroid 305495,0
146,Asteroid 227948,0
147,Asteroid 285716,0
148,Asteroid 86692,0
149,Asteroid 469522,0
150,Asteroid 391213,0
151,Asteroid 586430,0
152,Asteroid 102902,0
153,Asteroid 584688,0
154,Asteroid 130669,0
155,Asteroid 124394,0
156,Asteroid 2336,0
157,Asteroid 643631,0
158,Asteroid 435245,0
159,Asteroid 441271,0
160,Asteroid 457191,0
161,Asteroid 209726,0
162,Asteroid 693283,0
163,Asteroid 679347,0
164,Asteroid 752243,0
165,Asteroid 818951,0
166,Asteroid 4925,0
167,Asteroid 822159,0
168,Asteroid 204040,0
169,Asteroid 329114,0
170,Asteroid 4558,0
171,Asteroid 318027,0
172,Asteroid 798766,0
173,Asteroid 121412,0
174,Asteroid 101785,0
175,Asteroid 302015,0
176,Asteroid 363786,0
177,Asteroid 369894,0
178,Asteroid 38053,0
179,Asteroid 300755,0
180,Asteroid 455619,0
181,Asteroid 243940,0
182,Asteroid 121613,0
183,Asteroid 452656,0
184,Asteroid 211657,0
185,Asteroid 225552,0
186,Asteroid 126066,0
187,Asteroid 531946,0
188,Asteroid 406013,0
189,Asteroid 416216,0
190,Asteroid 648789,0
191,Asteroid 321842,0
192,Asteroid 715062,0
193,Asteroid 388506,0
194,Asteroid 269205,0
195,Asteroid 659095,0
196,Asteroid 507237,0
197,Asteroid 827390,0
198,Asteroid 320458,0
199,Asteroid 616948,0
200,Asteroid 179120,0
201,Asteroid 740356,0
202,Asteroid 50391,0
203,Asteroid 41149,0
204,Asteroid 740121,0
205,Asteroid 640795,0
206,Asteroid 68697,0
207,Asteroid 810672,0
208,Asteroid 649088,0
